Age,MP_x,PF,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,NumOfAwards,All-Star,AwardWinner,FirstTeam,SecondTeam,ThirdTeam,DefTeam1,DefTeam2,Next_Year_Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
29.0,25.8,2.2,0.59,22.4,6.9,1.1,5.1,9.5,17.3,0.1,0,0,0,0,0,0,0,0,22265280,1,0,0,0,0
23.0,36.5,2.4,0.57,6.9,20.8,0.9,0.6,11.1,22.7,-0.7,0,0,0,0,0,0,0,0,12000000,0,0,1,0,0
28.0,26.9,1.7,0.46,8.1,19.1,2.1,2.2,16.1,16.1,-3.5,0,0,0,0,0,0,0,0,8120000,0,0,0,1,0
31.0,7.4,1.0,0.483,19.5,15.2,1.4,1.5,16.9,12.9,-2.6,0,0,0,0,0,0,0,0,3500000,1,0,0,0,0
21.0,6.4,1.0,0.422,11.7,13.9,1.8,2.4,11.6,19.1,-5.0,0,0,0,0,0,0,0,0,2120693,0,0,0,0,1
23.0,22.4,2.2,0.545,10.1,19.8,1.7,1.9,12.8,23.7,0.1,0,0,0,0,0,0,0,0,12900000,0,0,1,0,0
25.0,26.6,2.0,0.607,5.4,29.5,1.4,0.8,12.1,27.5,1.9,0,0,0,0,0,0,0,0,18350000,0,0,0,0,1
24.0,25.8,1.8,0.62,5.8,10.7,0.9,0.6,10.2,19.6,-2.1,0,0,0,0,0,0,0,0,5705887,0,0,0,1,0
32.0,11.4,1.0,0.47,5.5,17.2,0.7,0.9,15.2,11.3,-4.7,0,0,0,0,0,0,0,0,3303771,0,0,1,0,0
23.0,12.7,0.8,0.564,9.4,26.5,1.6,2.1,15.1,20.2,0.5,0,0,0,0,0,0,0,0,1891857,0,0,1,0,0
27.0,32.7,2.1,0.588,5.3,27.6,1.3,1.3,11.8,23.0,0.9,0,0,0,0,0,0,0,0,18692307,0,0,1,0,0
26.0,2.7,0.1,0.391,6.1,14.9,0.0,2.0,14.4,19.6,-8.1,0,0,0,0,0,0,0,0,2425404,0,0,0,0,1
26.0,2.7,0.1,0.391,6.1,14.9,0.0,2.0,14.4,19.6,-8.1,0,0,0,0,0,0,0,0,2425404,0,0,0,0,1
26.0,2.7,0.1,0.391,6.1,14.9,0.0,2.0,14.4,19.6,-8.1,0,0,0,0,0,0,0,0,2425404,0,0,0,0,1
26.0,2.7,0.1,0.391,6.1,14.9,0.0,2.0,14.4,19.6,-8.1,0,0,0,0,0,0,0,0,2425404,0,0,0,0,1
24.0,19.4,1.2,0.504,9.5,19.4,1.6,1.7,12.2,25.7,-1.3,0,0,0,0,0,0,0,0,2196970,0,0,1,0,0
21.0,11.5,1.4,0.512,9.3,15.6,2.0,2.7,15.4,13.4,-2.3,0,0,0,0,0,0,0,0,3510480,0,0,0,0,1
33.0,35.3,1.8,0.59,6.8,28.8,1.3,0.6,11.4,28.4,2.1,2,1,0,0,0,0,0,0,48787676,0,0,1,0,0
25.0,24.5,3.1,0.731,16.7,9.1,1.7,7.1,11.7,14.7,2.6,0,0,0,0,0,0,0,0,13394160,1,0,0,0,0
31.0,16.9,2.1,0.597,13.6,8.3,1.0,4.5,11.8,15.4,-1.6,0,0,0,0,0,0,0,0,2087519,1,0,0,0,0
31.0,16.9,2.1,0.597,13.6,8.3,1.0,4.5,11.8,15.4,-1.6,0,0,0,0,0,0,0,0,2087519,1,0,0,0,0
28.0,19.8,1.5,0.645,7.5,19.3,1.0,0.4,12.9,15.0,-0.6,0,0,0,0,0,0,0,0,3150000,0,0,1,0,0
29.0,17.2,1.8,0.6,13.9,17.8,1.4,0.8,15.4,19.5,1.0,0,0,0,0,0,0,0,0,5168000,1,0,0,0,0
19.0,12.0,0.0,0.255,9.1,15.6,0.0,3.8,0.0,10.6,-7.9,0,0,0,0,0,0,0,0,3114240,0,0,0,1,0
24.0,33.4,1.7,0.56,4.5,29.4,1.9,0.3,16.1,25.3,-1.0,0,0,0,0,0,0,0,0,36725670,0,0,1,0,0
22.0,18.1,1.1,0.484,9.8,10.3,1.1,0.9,11.5,18.1,-5.0,0,0,0,0,0,0,0,0,2967212,0,1,0,0,0
22.0,18.1,1.1,0.484,9.8,10.3,1.1,0.9,11.5,18.1,-5.0,0,0,0,0,0,0,0,0,2967212,0,1,0,0,0
25.0,15.3,1.2,0.555,4.8,16.0,0.7,0.2,11.2,14.9,-3.4,0,0,0,0,0,0,0,0,6451077,0,0,1,0,0
22.0,15.1,2.1,0.596,23.1,14.0,1.3,4.3,16.7,19.7,0.0,0,0,0,0,0,0,0,0,3989122,1,0,0,0,0
26.0,35.9,2.6,0.567,7.2,25.2,2.7,1.1,10.1,31.0,2.7,1,0,0,0,0,0,0,0,34848340,0,0,1,0,0
26.0,29.5,2.6,0.595,7.2,7.3,1.1,0.9,10.0,20.6,-2.4,0,0,0,0,0,0,0,0,21696429,0,0,0,1,0
25.0,26.9,2.2,0.533,7.6,15.4,2.9,1.4,9.0,18.3,0.5,0,0,0,0,0,0,0,0,12822000,0,0,0,0,1
35.0,11.0,1.6,0.61,22.0,8.5,0.8,3.4,16.5,15.4,-1.7,0,0,0,0,0,0,0,0,2087519,1,0,0,0,0
34.0,37.8,2.0,0.584,6.4,21.8,1.5,1.5,7.7,25.8,1.8,1,0,0,0,0,0,0,0,23400000,0,0,0,1,0
27.0,20.5,1.7,0.598,11.1,5.0,1.8,2.0,7.6,10.5,0.1,0,0,0,0,0,0,0,0,6166667,0,1,0,0,0
25.0,32.4,2.0,0.587,19.1,8.8,1.5,2.1,11.2,21.1,0.3,0,0,0,0,0,0,0,0,34005126,1,0,0,0,0
27.0,35.7,1.8,0.555,8.1,27.9,1.9,0.8,11.3,26.6,1.7,0,0,0,0,0,0,0,0,29517135,0,0,0,0,1
31.0,15.8,0.7,0.505,6.3,20.8,3.5,1.3,6.3,12.8,0.4,0,0,0,0,0,0,0,0,2087519,0,0,1,0,0
31.0,15.8,0.7,0.505,6.3,20.8,3.5,1.3,6.3,12.8,0.4,0,0,0,0,0,0,0,0,2087519,0,0,1,0,0
23.0,30.1,2.5,0.597,12.8,17.8,1.2,1.3,14.8,20.2,-0.9,0,0,0,0,0,0,0,0,15625000,0,0,0,1,0
30.0,31.1,2.1,0.55,5.3,28.0,1.2,0.6,13.0,20.3,-1.8,0,0,0,0,0,0,0,0,13025250,0,0,1,0,0
19.0,23.5,2.6,0.728,16.0,6.4,1.3,5.2,13.1,12.6,0.5,1,0,0,0,0,0,0,0,5014560,1,0,0,0,0
26.0,23.5,1.6,0.592,7.7,5.5,1.4,2.5,10.5,14.9,-1.5,0,0,0,0,0,0,0,0,9523810,0,0,0,1,0
26.0,23.5,1.6,0.592,7.7,5.5,1.4,2.5,10.5,14.9,-1.5,0,0,0,0,0,0,0,0,9523810,0,0,0,1,0
29.0,32.6,2.1,0.611,7.0,21.2,1.5,3.2,11.0,18.6,3.8,2,0,0,0,0,0,0,1,20071429,0,0,0,0,1
25.0,34.4,2.9,0.589,7.0,29.2,1.5,1.4,11.7,28.5,2.8,0,0,0,0,0,0,0,0,34005250,0,0,0,0,1
27.0,36.0,3.0,0.611,7.1,31.2,1.2,1.0,10.6,29.8,3.0,2,1,0,0,0,1,0,0,49205800,0,0,1,0,0
23.0,33.1,1.1,0.578,6.3,19.1,1.5,0.8,8.6,23.5,0.0,0,0,0,0,0,0,0,0,29347826,0,0,0,0,1
28.0,30.9,3.3,0.549,5.9,7.5,1.4,0.4,9.6,17.6,-3.6,0,0,0,0,0,0,0,0,22255493,0,0,0,1,0
27.0,35.7,3.0,0.637,21.4,33.9,1.2,1.5,17.9,22.2,6.5,3,0,0,0,0,1,0,0,40500000,1,0,0,0,0
27.0,35.3,2.1,0.595,8.1,28.3,2.6,1.4,11.1,31.4,5.8,1,1,0,0,0,0,0,0,35410310,0,0,0,0,1
27.0,29.1,2.0,0.597,7.1,13.7,2.3,1.4,9.7,21.3,3.4,0,0,0,0,0,0,0,0,11445000,0,0,0,0,1
30.0,28.4,2.2,0.546,9.0,7.6,1.4,1.8,10.0,13.2,-2.0,0,0,0,0,0,0,0,0,14924167,0,1,0,0,0
32.0,14.1,1.0,0.6,3.6,10.3,0.8,0.2,8.7,14.9,-3.4,0,0,0,0,0,0,0,0,2087519,0,0,0,1,0
33.0,27.1,3.0,0.587,14.4,28.6,1.8,2.9,25.0,15.3,2.4,0,0,0,0,0,0,0,0,24107143,0,1,0,0,0
26.0,15.6,1.5,0.645,15.6,7.2,1.1,4.6,17.2,13.2,-1.2,0,0,0,0,0,0,0,0,5000000,1,0,0,0,0
29.0,28.0,2.4,0.612,5.1,15.1,1.2,0.8,11.7,19.0,-0.9,0,0,0,0,0,0,0,0,19406000,0,0,0,1,0
27.0,17.9,2.4,0.571,11.5,8.9,1.3,2.8,8.8,20.7,-0.9,0,0,0,0,0,0,0,0,2048780,1,0,0,0,0
32.0,13.3,1.8,0.716,14.0,12.4,1.5,2.1,18.1,9.1,-0.3,0,0,0,0,0,0,0,0,4000000,1,0,0,0,0
20.0,22.3,1.7,0.529,9.7,15.4,3.1,1.8,15.0,12.6,0.6,0,0,0,0,0,0,0,0,6059520,0,0,1,0,0
31.0,15.7,1.3,0.583,5.1,7.2,1.9,1.7,6.8,17.4,-1.4,0,0,0,0,0,0,0,0,5250000,0,1,0,0,0
23.0,2.9,0.3,0.291,12.1,5.2,4.3,8.6,22.5,16.8,-4.7,0,0,0,0,0,0,0,0,706898,0,1,0,0,0
35.0,27.8,1.2,0.58,3.6,10.0,1.7,1.4,10.2,16.5,-1.7,0,0,0,0,0,0,0,0,3303771,0,0,0,0,1
26.0,9.1,1.4,0.549,11.6,13.0,3.2,1.0,10.0,22.5,-2.3,0,0,0,0,0,0,0,0,119972,0,0,0,1,0
22.0,30.6,2.7,0.626,17.2,15.9,1.5,4.2,12.5,20.6,2.9,0,0,0,0,0,0,0,0,11227657,0,1,0,0,0
22.0,32.5,2.3,0.575,9.6,18.8,1.6,1.1,10.0,25.7,1.2,0,0,0,0,0,0,0,0,7007092,0,0,0,1,0
29.0,36.8,2.5,0.568,5.6,31.1,1.8,2.0,10.1,19.7,3.4,0,0,0,0,0,0,0,0,42846615,0,0,1,0,0
19.0,25.7,1.3,0.554,8.7,8.0,1.1,1.8,9.3,24.2,-2.0,0,0,0,0,0,0,0,0,1891857,0,1,0,0,0
27.0,19.8,1.7,0.341,2.3,11.6,2.0,0.0,9.1,10.9,-6.5,0,0,0,0,0,0,0,0,11000000,0,0,1,0,0
37.0,10.7,1.0,0.502,8.6,12.5,2.0,0.9,13.8,15.0,-4.7,0,0,0,0,0,0,0,0,2087519,0,0,0,0,1
27.0,15.0,1.7,0.665,5.1,4.8,1.0,0.7,7.2,11.1,-3.0,0,0,0,0,0,0,0,0,2230253,0,0,0,0,1
29.0,24.0,1.7,0.587,4.1,9.1,1.9,1.0,8.9,11.7,-1.2,0,0,0,0,0,0,0,0,7500000,0,0,0,0,1
31.0,15.5,1.8,0.621,9.0,9.4,2.8,2.4,12.3,13.6,0.9,0,0,0,0,0,0,0,0,9130000,0,0,0,0,1
25.0,28.1,1.4,0.548,5.2,8.6,1.9,0.4,5.0,20.0,-2.6,0,0,0,0,0,0,0,0,2087519,0,0,0,0,1
30.0,22.3,2.3,0.583,8.5,7.5,0.8,0.9,9.9,17.6,-2.9,0,0,0,0,0,0,0,0,8500000,0,1,0,0,0
29.0,35.2,2.9,0.649,17.9,32.7,1.6,2.6,12.7,33.0,9.0,5,1,0,1,0,0,0,0,48787676,0,1,0,0,0
24.0,15.4,1.7,0.629,17.5,11.7,1.7,7.0,15.1,13.3,2.1,0,0,0,0,0,0,0,0,9057971,1,0,0,0,0
20.0,21.1,1.5,0.546,5.7,7.4,1.3,0.1,9.7,17.4,-5.4,0,0,0,0,0,0,0,0,4763760,0,0,0,0,1
25.0,28.0,3.0,0.588,8.3,11.3,1.0,1.6,14.1,15.9,-2.6,0,0,0,0,0,0,0,0,13025250,0,1,0,0,0
28.0,33.5,2.1,0.679,6.6,12.1,1.3,1.6,11.3,14.5,1.3,0,0,0,0,0,0,0,0,15625000,0,0,0,0,1
21.0,8.3,1.0,0.656,13.8,9.6,1.0,0.9,10.1,15.2,-0.5,0,0,0,0,0,0,0,0,1891857,0,1,0,0,0
31.0,29.0,1.2,0.611,5.9,5.6,1.1,0.5,6.6,15.7,-1.8,0,0,0,0,0,0,0,0,18000000,0,1,0,0,0
27.0,20.7,1.8,0.587,8.7,7.2,1.9,2.1,9.0,12.4,-0.7,0,0,0,0,0,0,0,0,5200000,0,1,0,0,0
25.0,30.5,2.9,0.636,6.5,11.3,2.2,2.6,12.4,14.1,0.6,2,0,0,0,0,0,1,0,12976362,0,0,0,1,0
23.0,2.7,0.6,0.5,10.4,5.6,1.0,0.0,9.1,20.0,-8.9,0,0,0,0,0,0,0,0,1891857,0,1,0,0,0
24.0,29.2,1.8,0.577,7.2,24.6,1.2,0.5,9.2,23.8,1.3,0,0,0,0,0,0,0,0,32500000,0,0,0,0,1
23.0,27.3,2.0,0.599,6.1,9.5,1.5,1.6,9.1,13.9,-1.1,0,0,0,0,0,0,0,0,10185186,0,0,0,1,0
25.0,25.3,2.8,0.67,18.5,13.5,2.3,4.2,17.6,12.0,3.5,0,0,0,0,0,0,0,0,30000000,1,0,0,0,0
22.0,13.1,2.3,0.689,17.5,8.3,2.1,6.3,12.3,17.2,1.7,0,0,0,0,0,0,0,0,4435381,1,0,0,0,0
24.0,18.5,1.1,0.626,6.9,8.9,1.5,1.4,8.5,16.6,0.9,0,0,0,0,0,0,0,0,12991650,0,0,0,0,1
22.0,30.9,2.2,0.6,11.9,7.1,0.6,2.3,13.6,14.5,-2.3,0,0,0,0,0,0,0,0,15000000,0,1,0,0,0
26.0,26.4,2.6,0.671,19.7,7.5,0.6,4.2,11.8,16.4,0.8,0,0,0,0,0,0,0,0,11743210,1,0,0,0,0
24.0,35.3,2.1,0.57,8.6,42.2,1.1,1.5,12.0,30.4,3.1,0,0,0,0,0,0,0,0,36725670,0,0,1,0,0
36.0,7.4,1.0,0.609,20.8,7.6,2.0,5.4,18.3,23.4,-1.3,0,0,0,0,0,0,0,0,2208856,1,0,0,0,0
36.0,7.4,1.0,0.609,20.8,7.6,2.0,5.4,18.3,23.4,-1.3,0,0,0,0,0,0,0,0,2208856,1,0,0,0,0
20.0,31.9,2.6,0.571,13.6,7.1,1.0,2.3,8.9,17.6,-0.4,0,0,0,0,0,0,0,0,9770880,0,1,0,0,0
21.0,23.6,2.4,0.546,16.7,6.2,1.2,1.2,10.2,16.3,-3.3,0,0,0,0,0,0,0,0,2019699,0,1,0,0,0
21.0,13.5,1.1,0.517,7.2,15.7,1.1,0.4,10.8,24.9,-4.1,0,0,0,0,0,0,0,0,2019699,0,0,0,0,1
21.0,28.8,2.6,0.536,6.6,20.2,1.2,1.6,14.7,24.9,-3.1,0,0,0,0,0,0,0,0,7977240,0,0,0,0,1
23.0,29.2,3.0,0.571,6.0,6.8,1.5,1.8,11.6,15.7,-2.6,1,0,0,0,0,0,0,1,23017242,0,0,0,1,0
21.0,10.3,1.3,0.49,8.4,11.5,3.5,2.7,17.0,17.1,-3.4,0,0,0,0,0,0,0,0,4018363,0,0,0,0,1
33.0,23.1,1.5,0.546,7.6,7.2,1.6,0.7,7.4,11.5,-2.6,0,0,0,0,0,0,0,0,1655619,0,1,0,0,0
28.0,15.9,2.1,0.538,10.2,8.2,2.0,1.3,13.1,11.7,-2.3,0,0,0,0,0,0,0,0,7565217,0,0,0,1,0
22.0,28.2,2.2,0.574,7.6,13.9,1.8,0.9,12.4,18.7,-1.9,2,0,0,0,0,0,0,0,3685800,0,0,0,1,0
22.0,23.0,2.0,0.54,8.7,11.1,1.8,1.4,11.4,21.1,-2.5,0,0,0,0,0,0,0,0,3352680,0,1,0,0,0
28.0,26.4,3.0,0.653,17.9,14.0,1.3,5.1,15.3,16.2,0.7,0,0,0,0,0,0,0,0,19500000,1,0,0,0,0
27.0,35.4,1.9,0.592,5.7,33.5,1.3,0.4,9.1,32.5,5.8,4,1,0,0,1,0,0,0,24960001,0,0,1,0,0
20.0,29.1,3.1,0.653,22.2,12.7,0.9,2.3,16.7,18.5,-0.1,0,0,0,0,0,0,0,0,4536840,1,0,0,0,0
21.0,31.7,1.4,0.541,8.7,17.3,1.2,1.0,11.4,27.4,-0.5,0,0,0,0,0,0,0,0,12483048,0,0,0,0,1
